customer_id,gender,age,tenure,balance,num_of_products,has_cr_card,is_active_member,estimated_salary,churn
34,0,32,8,50881.407683876,4,0,0,61949.230476085875,1
35,0,62,9,63633.26181858953,2,1,1,25642.10182876246,0
36,1,18,4,25046.181860558416,2,1,1,140203.63292906748,0
37,0,42,1,58987.084756054384,3,1,0,139485.04298622574,0
38,1,24,1,97889.2858275009,1,0,0,52888.72183860135,0
39,1,26,4,48674.21529594551,4,1,0,110403.44600386418,0
40,1,41,7,90609.8787718554,3,1,1,29806.49112167001,0
41,1,18,2,43439.43655104286,3,1,0,41608.00614820288,1
42,1,61,3,35007.84076946757,4,1,0,48185.18385624386,1
43,0,25,1,64510.33620305648,2,0,1,58284.213089125886,0
44,0,41,5,66892.40596630996,3,1,1,149458.07875381818,0
45,0,28,1,86416.75650719031,2,0,0,110600.25726229593,0
46,0,68,8,23018.526824155528,1,0,1,69946.2380792986,1
47,0,34,1,49919.33798847523,2,0,1,115823.0917595925,1
48,1,25,1,57200.41992091831,1,0,0,138983.0644169838,1
49,0,52,2,76855.4014306309,2,0,1,144631.31296302,1
50,0,52,2,4360.377175443375,3,0,0,27522.30670850196,1
51,1,50,6,99455.0510797341,3,1,1,71287.83381905689,1
52,0,76,7,46994.451399094294,1,0,0,33878.28857166497,1
53,1,22,5,27956.03417967586,4,0,0,63635.80842360522,1
54,0,59,1,88349.4022266259,1,0,0,42058.38750642352,1
55,1,56,1,74771.87738974139,1,1,1,104090.2870169341,0
56,0,75,3,95307.18470239532,2,1,0,70474.88991868339,0
57,0,58,2,33075.03046705137,2,0,1,49821.316941643454,0
58,1,45,5,55276.49668354899,1,1,0,54571.93024535107,0
59,1,24,6,57229.24691708383,3,0,0,66844.86237668488,1
60,1,26,7,98033.15837160456,2,0,1,53793.48217105415,1
61,1,25,4,7534.625600612821,4,1,0,78921.31008774803,0
62,1,29,7,30569.701928718187,2,0,0,24201.07364425456,1
63,1,51,8,19091.103115034603,2,1,1,56369.25593196294,0
64,1,50,1,26847.48568901568,4,1,0,73456.87371338421,1
65,1,65,6,48527.98742763157,1,0,0,98361.6446630288,0
66,0,72,8,37268.68670940493,4,0,0,55224.493526966886,1
67,0,40,5,39469.14668094722,1,1,0,37314.06627908746,1
68,1,79,4,84421.31407263114,1,0,1,29906.04934789121,0
69,0,41,2,93001.6834810832,1,0,1,142269.13752759984,1
70,0,54,6,7041.61308495439,4,0,0,74163.0775060023,0
71,0,52,6,20891.87176153602,1,1,1,95551.1407535074,0
72,0,61,1,67114.35168240506,3,1,0,139492.95173862274,0
73,1,57,9,35864.67812961639,4,0,1,30757.2946045898,0
74,0,39,6,25416.364906973875,3,1,0,133965.99317035306,1
75,1,44,3,29529.058841893875,1,1,0,91706.4234307291,1
76,0,52,4,32255.076423860053,2,1,0,41428.45394781012,1
77,0,18,4,84866.97949246745,1,1,0,73463.16515609798,0
78,0,52,3,13662.133144202882,3,1,0,121088.29688557932,1
79,1,54,3,70891.09969101186,3,0,0,82448.1106426261,0
80,0,64,3,55281.99769079078,4,0,1,148087.18658651557,1
81,1,31,4,29651.014364779847,2,0,0,68976.0660919323,1
82,0,20,7,41978.08564462765,4,1,1,117445.17899688936,1
83,1,18,4,25620.694359445806,3,1,0,71088.62836725169,0
84,0,22,9,61151.371086568055,1,0,1,127791.34869184688,1
85,1,43,1,8159.418040024036,2,1,1,93980.5909915472,1
86,1,72,8,518.4862773986775,1,0,1,28256.537846700176,0
87,0,31,7,62789.4414948636,1,0,0,24786.84279267888,1
88,1,56,2,19427.395351204224,2,0,0,37400.77544408232,0
89,0,44,8,7094.091699992766,4,1,1,21777.355427509647,1
90,0,26,1,39678.38272138883,1,1,0,29796.6778458201,0
91,0,32,9,5076.853103939694,3,0,1,109922.87163195857,0
92,0,32,9,88661.71489506599,1,0,0,89465.0157538302,1
93,0,43,2,2761.6771873704706,2,0,1,117488.39743109634,0
94,0,59,7,57886.48955075587,2,0,1,138711.54779349358,0
95,0,77,3,43847.4123018087,2,1,0,96069.43920231136,0
96,0,30,7,67202.61352951993,4,1,1,114395.70972934023,0
97,0,68,9,32815.26674747319,1,0,0,118420.55626551926,0
98,0,49,4,15504.16167277442,4,0,1,69120.57140585224,0
99,0,56,1,98184.0888310531,4,1,1,51341.02820285214,1
100,1,66,2,83893.35020693633,2,1,0,46655.89270584824,0
